Month,Total,Avg_Daily,Days,Lower,Upper
Dec 2025,8040.779725851184,259.3799911564898,31,0.0,22688.386419365568
Feb 2026,2848.703226849402,105.50752692034823,27,0.0,15606.296153458703
Jan 2026,1656.2711593878112,53.428101915735844,31,0.0,16303.877852902195
Nov 2025,17665.63638262652,588.8545460875506,30,4661.521333566022,31840.739634414633
Oct 2025,60564.07115592189,1953.6797147071577,31,45916.46446240751,75211.67784943628
Sep 2025,117897.288295653,3929.9096098551,30,103722.18504386488,132072.3915474411
