model,type,R2,MAE,RMSE,MAPE,MASE,Beat_Best_Baseline_MAE,Best_Baseline_Name
Ensemble,model,0.13845468658243754,862.1561821070454,1224.3551266979246,63.01820633295054,0.9505831374158972,44.819913062036676,DOW
Naive_Last_Value,baseline,-0.9320576030078713,1384.0632222222223,1833.4892887488236,89.7653962984204,1.5260195164947536,-477.0871270531402,DOW
Day_of_Week_Avg,baseline,-0.019776535809866713,906.9760951690821,1332.0509892940777,67.08318938351584,1.0,0.0,DOW
Moving_Avg_7D,baseline,-0.010784914127730527,920.1534285714284,1326.16547571523,68.45379467872517,1.014528865173552,-13.177333402346335,DOW
