year_month,month_name,Total_Forecast,Avg_Daily,Days,Lower_Bound,Upper_Bound
2025-09,September 2025,64382.074151088425,2146.0691383696144,30,371.66427148252205,135955.5970321174
2025-10,October 2025,63599.25126821679,2051.5887505876385,31,53.55886235713342,137558.55824528006
2025-11,November 2025,70902.02082289894,2363.400694096631,30,1526.7056340014396,142475.5437039279
2025-12,December 2025,79104.82507361521,2551.768550761781,31,5473.91965133918,153064.13205067845
2026-01,January 2026,73282.14552364402,2363.940178182065,31,1642.5799337357844,147241.45250070727
2026-02,February 2026,55649.96320520975,2061.1097483411017,27,0.0,120066.13379813582
